Problem,Pair,RT_mean,RT_sd,Q_mean,Q_sd,n
IntArraySort,SortPair,0.05399121670016029,0.02671546102294717,1.0,0.0,10
IntArraySort,GraphPair,7.631299740751275e-06,3.755072185617588e-06,0.0,0.0,10
IntArraySort,LPPair,9.750599929247983e-06,1.876705729028808e-06,0.0,0.0,10
IntArraySort,SatPair,9.5689998488524e-06,1.1150022829726957e-06,0.0,0.0,10
IntArraySort,MatMulPair,9.467299969401211e-06,1.1116814546825535e-06,0.0,0.0,10
ShortestPathSparse,SortPair,1.3514599777408875e-05,2.970800740341595e-06,0.0,0.0,10
ShortestPathSparse,GraphPair,0.00035446629981379375,0.0002734806623948001,0.6074692221733254,0.48082180419942866,10
ShortestPathSparse,LPPair,0.00010495909982637386,0.00010508993438552758,0.0,0.0,10
ShortestPathSparse,SatPair,1.3242099976196187e-05,3.2043244301137034e-06,0.0,0.0,10
ShortestPathSparse,MatMulPair,1.4860700139252003e-05,2.832373202240207e-06,0.0,0.0,10
LinearProgram,SortPair,8.422500013693934e-06,8.721932950577053e-06,inf,,10
LinearProgram,GraphPair,0.0003338355999403575,0.00021208885064122592,inf,,10
LinearProgram,LPPair,0.05357206230009979,0.06352719555559683,inf,,10
LinearProgram,SatPair,2.880799820559332e-06,1.8388794809936132e-06,inf,,10
LinearProgram,MatMulPair,1.853800131357275e-06,3.529359828666084e-07,inf,,10
3SAT,SortPair,5.356900146580301e-06,2.0568252795027342e-06,0.0,0.0,10
3SAT,GraphPair,6.9816001087019686e-06,2.942290952976476e-06,0.0,0.0,10
3SAT,LPPair,6.0493001001304945e-06,2.2774733140457946e-06,0.0,0.0,10
3SAT,SatPair,0.0006162126001072465,0.0006419037268780429,0.3,0.45825756949558394,10
3SAT,MatMulPair,5.255300220596837e-06,2.9327886396574234e-06,0.0,0.0,10
MatrixMultiply,SortPair,1.1971699859714135e-05,9.34825361633733e-06,0.0,0.0,10
MatrixMultiply,GraphPair,8.796600013738498e-06,3.5308482907414628e-06,0.0,0.0,10
MatrixMultiply,LPPair,7.713600007264177e-06,4.4443617006977634e-06,0.0,0.0,10
MatrixMultiply,SatPair,0.08079097179997916,0.028997616338171016,0.0,0.0,10
MatrixMultiply,MatMulPair,0.0011972057999628306,0.0009067848642217363,-0.3604446592515488,1.1287384214185625,10
